,flight,thank,label
775,0.0,1.0,good
776,1.0,0.0,negative
777,0.0,0.0,worse
778,0.0,0.0,negative
779,1.0,0.0,worse
780,0.0,0.0,average
781,0.0,0.0,good
782,0.0,0.0,good
783,0.0,0.0,negative
784,0.0,0.0,average
785,1.0,0.0,negative
786,1.0,0.0,negative
787,1.0,0.0,average
788,0.0,0.0,average
789,0.0,0.0,negative
790,0.0,0.0,worse
791,1.0,0.0,worse
792,0.0,0.0,negative
793,0.0,0.0,negative
794,0.0,1.0,average
795,0.0,0.0,worse
796,0.0,0.0,worse
797,1.0,0.0,negative
798,0.0,0.0,negative
799,0.0,1.0,good
800,0.0,0.0,worse
801,0.0,0.0,negative
802,0.0,0.0,negative
803,0.0,0.0,worse
804,0.0,0.0,worse
805,0.0,0.0,average
806,0.0,0.0,good
807,0.0,1.0,negative
808,0.0,0.0,average
809,0.0,0.0,average
810,0.0,0.0,negative
811,0.0,1.0,negative
812,0.0,0.0,average
813,0.0,0.0,average
814,0.0,0.0,negative
815,0.0,0.0,worse
816,0.0,0.0,negative
817,0.0,0.0,worse
818,0.0,0.0,average
819,0.0,0.0,negative
820,1.0,0.0,negative
821,0.0,0.0,negative
822,1.0,0.0,average
823,1.0,0.0,worse
824,0.0,0.0,worse
825,0.0,0.0,worse
826,1.0,0.0,worse
827,1.0,0.0,worse
828,1.0,0.0,negative
829,1.0,0.0,negative
830,0.0,0.0,negative
831,0.0,0.0,worse
832,0.0,0.0,worse
833,0.0,0.0,good
834,0.0,0.0,good
835,0.0,1.0,good
836,0.0,0.0,worse
837,0.0,0.0,worse
838,0.0,0.0,negative
839,0.0,0.0,worse
840,0.0,0.0,negative
841,1.0,0.0,negative
842,0.0,0.0,worse
843,0.5880333434473399,0.8088366874679601,good
844,0.0,0.0,worse
845,0.0,0.0,negative
846,0.0,0.0,good
847,0.0,0.0,negative
848,0.0,0.0,negative
849,1.0,0.0,worse
850,0.0,0.0,worse
851,0.0,0.0,negative
852,1.0,0.0,worse
853,0.0,0.0,average
854,0.0,0.0,good
855,0.0,0.0,negative
856,1.0,0.0,average
857,0.0,0.0,negative
858,1.0,0.0,negative
859,0.0,0.0,negative
860,0.0,0.0,worse
861,0.0,0.0,negative
862,0.0,0.0,negative
863,0.0,0.0,worse
864,1.0,0.0,average
865,0.0,0.0,negative
866,0.0,0.0,negative
867,0.0,1.0,good
868,0.0,0.0,average
869,0.0,0.0,average
870,0.0,0.0,negative
871,1.0,0.0,average
872,0.0,0.0,negative
873,0.0,0.0,negative
874,1.0,0.0,negative
875,0.0,1.0,negative
876,0.0,1.0,good
877,0.0,1.0,good
878,0.0,0.0,worse
879,1.0,0.0,average
880,0.0,0.0,average
881,1.0,0.0,average
882,0.0,1.0,good
883,1.0,0.0,worse
884,1.0,0.0,worse
885,0.3416345241656678,0.9398328850908004,good
886,0.0,0.0,good
887,0.0,0.0,worse
888,1.0,0.0,average
889,0.0,0.0,good
890,0.0,0.0,negative
891,0.0,0.0,good
892,0.0,0.0,negative
893,0.0,1.0,good
894,0.0,0.0,worse
895,0.0,0.0,worse
896,0.0,0.0,average
897,0.0,0.0,average
898,1.0,0.0,negative
899,0.0,0.0,negative
900,1.0,0.0,negative
901,1.0,0.0,negative
902,0.0,0.0,negative
903,1.0,0.0,negative
904,0.0,1.0,average
905,1.0,0.0,negative
906,0.0,0.0,average
907,0.0,0.0,negative
908,0.0,1.0,good
909,0.0,0.0,negative
910,1.0,0.0,negative
911,1.0,0.0,negative
912,1.0,0.0,negative
913,0.0,0.0,average
914,0.0,0.0,negative
915,0.0,0.0,good
916,0.0,1.0,good
917,0.0,0.0,negative
918,1.0,0.0,negative
919,1.0,0.0,negative
920,0.0,0.0,negative
921,0.0,0.0,average
922,0.0,0.0,worse
923,1.0,0.0,negative
924,0.0,0.0,negative
925,1.0,0.0,average
926,0.0,1.0,average
927,0.0,0.0,negative
928,0.0,0.0,average
929,0.0,0.0,worse
930,1.0,0.0,worse
931,1.0,0.0,average
932,0.0,0.0,negative
933,0.5880333434473399,0.8088366874679601,good
934,1.0,0.0,negative
935,0.0,0.0,negative
936,0.0,0.0,negative
937,0.0,0.0,negative
938,0.0,0.0,negative
939,0.0,0.0,negative
940,0.0,0.0,negative
941,0.0,0.0,good
942,0.0,0.0,worse
943,0.0,0.0,negative
944,0.0,0.0,negative
945,0.0,0.0,negative
946,0.0,0.0,worse
947,0.0,0.0,negative
948,0.0,1.0,good
949,0.5880333434473399,0.8088366874679601,average
950,0.0,1.0,good
951,0.0,0.0,average
952,0.0,0.0,worse
953,0.0,0.0,negative
954,0.0,0.0,negative
955,1.0,0.0,negative
956,0.0,0.0,average
957,0.0,0.0,negative
958,0.0,0.0,worse
959,0.0,1.0,average
960,0.0,0.0,negative
961,0.0,0.0,average
962,0.0,0.0,negative
963,0.0,0.0,worse
964,0.0,0.0,average
965,0.0,0.0,worse
966,1.0,0.0,negative
967,0.0,0.0,worse
968,0.0,1.0,average
969,0.0,0.0,worse
970,0.0,0.0,worse
971,0.0,0.0,worse
972,0.0,0.0,negative
973,1.0,0.0,negative
974,0.0,0.0,negative
975,0.0,0.0,worse
976,0.0,0.0,worse
977,0.0,0.0,negative
978,1.0,0.0,negative
979,1.0,0.0,negative
980,0.0,0.0,negative
981,1.0,0.0,worse
982,0.0,0.0,worse
